CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE,Another NEW Predicated Delivery Date
OOCU7385836,OOCL SOUTHAMPTON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/2/2021,4/7/2021,4/27/2021,5/17/2021,5/21/2021,5/26/2021,Yes,5/19/2021,?
OOLU4431955,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",3/31/2021,4/5/2021,5/18/2021,5/25/2021,5/29/2021,9/17/2021,Yes,5/27/2021,?
UETU5349363,CSCL SPRING,,"Edmonton, Alberta, Canada","Vancouver, British Columbia, Canada","Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China",1/10/2020,1/18/2020,2/25/2020,3/18/2020,3/18/2020,4/21/2021,,,?
OOLU0111819,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",3/12/2021,3/20/2021,5/19/2021,5/25/2021,5/25/2021,5/24/2021,Yes,5/28/2021,?
FCIU2574899,MSC ANTONELLA,,,"San Antonio, Region de Valparaiso, Chile","Rotterdam, Provincie Zuid-Holland, Netherlands",,5/19/2019,5/19/2019,6/11/2019,,,4/21/2021,,,?
MEDU6732716,MSC ARUSHI R.,CIF,,"Antwerpen, Flanders, Belgium","Stavanger, Rogaland Fylke, Norway","Stavanger, Rogaland Fylke, Norway",10/17/2021,10/17/2021,11/4/2021,,,12/1/2021,,,?
OOCU8154981,COSCO SPAIN,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/11/2021,4/21/2021,5/11/2021,6/3/2021,6/7/2021,6/15/2021,Yes,6/8/2021,?
CSNU7583471,COSCO SHIPPING DENALI,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,3/6/2021,3/7/2021,4/1/2021,,4/18/2021,4/21/2021,,,?
OOLU6784144,OOCL UTAH,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2/5/2021,2/9/2021,3/1/2021,3/12/2021,3/16/2021,4/21/2021,,,?
OOLU0276110,SOL DELTA,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",3/21/2021,3/26/2021,5/10/2021,5/24/2021,5/24/2021,5/24/2021,Yes,5/25/2021,?
OOLU8326644,OOCL LUXEMBOURG,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",1/15/2021,1/21/2021,2/10/2021,2/22/2021,2/26/2021,4/21/2021,,,?
DFSU4350572,EVER LAWFUL,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Charleston, South Carolina, United States",,3/6/2021,3/9/2021,4/20/2021,,5/7/2021,4/21/2021,,,?
OOLU7394813,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/22/2020,5/24/2020,6/11/2020,6/17/2020,6/21/2020,4/21/2021,,,?
OOCU8371122,OOCL LONDON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",3/28/2021,4/7/2021,4/20/2021,5/17/2021,5/21/2021,5/24/2021,Yes,5/19/2021,?
FFAU3233251,OOCL TOKYO,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",1/31/2021,2/5/2021,2/21/2021,3/8/2021,3/12/2021,4/21/2021,,,?
OOLU7394330,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/22/2020,5/24/2020,6/11/2020,6/17/2020,6/21/2020,4/21/2021,,,?
MSDU8216444,MSC VANDYA,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Industry, California, United States",3/3/2021,3/5/2021,4/15/2021,,5/2/2021,4/21/2021,,,?
OOLU9774094,COSCO THAILAND,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Prince Rupert, British Columbia, Canada","Toronto, Ontario, Canada",1/30/2021,2/13/2021,3/1/2021,3/15/2021,3/19/2021,4/21/2021,,,?
NYKU4388932,ALS MARS,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",3/15/2021,3/24/2021,4/25/2021,5/6/2021,5/10/2021,5/6/2021,,,?
OOCU6804711,OOCL LUXEMBOURG,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/9/2021,4/13/2021,5/7/2021,5/24/2021,5/28/2021,6/26/2021,Yes,6/1/2021,?
CSLU2275442,BEIJING,,"Zhongshan, Guangdong Sheng, China","Zhongshan, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/29/2020,12/29/2020,3/16/2021,3/18/2021,4/2/2021,4/21/2021,,,?
TCKU6540223,YM CELEBRITY,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",,,5/14/2021,,5/31/2021,4/21/2021,,,?
OOLU4346792,HUI HAI LONG 06,,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",1/22/2021,1/22/2021,2/15/2021,3/9/2021,3/13/2021,4/21/2021,,,?
OOLU8771402,OOCL TAIPEI,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/16/2021,4/20/2021,5/11/2021,5/24/2021,5/28/2021,6/14/2021,Yes,7/29/2021,?
OOLU8892045,OOCL SOUTHAMPTON,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/4/2021,4/11/2021,4/25/2021,5/8/2021,5/12/2021,5/28/2021,Yes,5/13/2021,?
DRYU9920656,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/25/2021,5/2/2021,5/14/2021,6/3/2021,6/7/2021,6/7/2021,Yes,6/8/2021,?
TGHU9385791,NORTHERN JUVENILE,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/7/2021,5/9/2021,6/6/2021,6/14/2021,6/18/2021,6/14/2021,Yes,6/17/2021,?
NYKU4314992,COLOMBO EXPRESS,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",3/16/2021,3/23/2021,4/18/2021,5/20/2021,5/24/2021,5/24/2021,Yes,5/21/2021,?
BEAU5285217,ONE THESEUS,JAS,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/18/2021,5/23/2021,6/8/2021,7/7/2021,7/11/2021,7/26/2021,Yes,7/13/2021,?
BEAU5301848,HYUNDAI NEPTUNE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",4/17/2021,4/24/2021,5/19/2021,6/8/2021,6/12/2021,6/9/2021,Yes,6/9/2021,?
CAIU8613973,ONE AQUILA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",3/25/2021,4/1/2021,5/5/2021,6/4/2021,6/8/2021,6/9/2021,Yes,6/14/2021,?
CCLU6967860,CMA CGM CASSIOPEIA,nppnexpress,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/6/2021,5/30/2021,6/23/2021,7/8/2021,7/12/2021,6/11/2021,Yes,7/14/2021,?
CCLU7784919,,,"Xinpu, Jiangsu Sheng, China","Xinpu, Jiangsu Sheng, China","Dongguan, Guangdong Sheng, China","Dongguan, Guangdong Sheng, China",3/12/2021,3/13/2021,3/31/2021,4/1/2021,4/17/2021,6/9/2021,Yes,6/1/2021,?
BMOU5478057,,Axiom,,,,"Dallas, Texas, United States",,,,6/18/2021,6/18/2021,6/21/2021,,,?
CMAU4714973,NORTHERN JUVENILE,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/7/2021,5/10/2021,6/3/2021,6/11/2021,6/15/2021,6/28/2021,Yes,6/15/2021,?
EITU1301548,ST EVER,Evergreen,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",4/17/2021,4/17/2021,,7/9/2021,7/13/2021,7/15/2021,Yes,7/15/2021,?
EITU1395212,TOKYO TOWER,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",5/11/2021,5/11/2021,,7/12/2021,7/16/2021,7/15/2021,,,?
FBIU0397750,,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Kaohsiung, Kaohsiung, Taiwan","Kaohsiung, Kaohsiung, Taiwan",10/16/2020,10/18/2020,10/25/2020,10/27/2020,11/11/2020,5/28/2021,Yes,5/28/2021,?
CSNU7699564,,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",6/5/2021,6/5/2021,6/23/2021,,7/10/2021,7/8/2021,Yes,7/12/2021,?
EGSU9189397,EVER SMILE,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",6/19/2021,6/19/2021,,7/26/2021,7/30/2021,8/3/2021,Yes,7/29/2021,?
NYKU9741929,ONE COMMITMENT,,"Dallas, Texas, United States","Los Angeles, California, United States","Hong Kong, Central and Western District, Hong Kong","Hong Kong, Central and Western District, Hong Kong",6/4/2021,7/11/2021,8/7/2021,8/7/2021,8/24/2021,6/11/2021,Yes,6/3/2021,?
OOLU8153826,COSCO SHIPPING DENALI,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/23/2021,5/7/2021,5/22/2021,6/8/2021,6/12/2021,6/9/2021,,,?
OOLU8955272,OOCL LUXEMBOURG,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/11/2021,4/17/2021,5/5/2021,6/1/2021,6/5/2021,6/9/2021,Yes,6/2/2021,?
MSCU5135514,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/21/2021,7/6/2021,7/24/2021,7/28/2021,7/26/2021,Yes,7/29/2021,?
CAIU8623689,CMA CGM BRAZIL,Expeditors,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",3/21/2021,3/29/2021,5/16/2021,5/26/2021,5/30/2021,6/15/2021,Yes,6/1/2021,?
CMAU6338962,,JAS,"Newark, New Jersey, United States",,,,7/20/2021,7/20/2021,,,,7/22/2021,,,?
HPCU4152898,,2nd charter,,,,,,,,,,,Yes,1/3/2022,?
SEGU4485104,THALASSA PISTIS,Axiom,,,,,,,,,,,Yes,7/9/2021,?
OOLU7832993,X-PRESS KABRU,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",3/7/2021,3/6/2021,4/26/2021,5/11/2021,5/11/2021,5/6/2021,,,?
OOLU8612334,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/18/2021,4/23/2021,5/13/2021,6/3/2021,6/7/2021,6/15/2021,Yes,6/5/2021,?
OOLU8796123,,CIF,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",6/26/2021,6/26/2021,7/11/2021,,7/28/2021,6/29/2021,Yes,6/7/2021,?
DRYU6031207,ONE COMPETENCE,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",5/23/2021,5/30/2021,7/7/2021,7/29/2021,8/2/2021,7/30/2021,Yes,8/2/2021,?
TCLU5784074,NYK DANIELLA,,,"Acajutla, Departamento de Sonsonate, El Salvador","Seattle, Washington, United States",,2/24/2021,2/24/2021,5/12/2021,,,4/21/2021,,,?
TRHU7010226,HYUNDAI COURAGE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",4/2/2021,4/9/2021,4/30/2021,5/4/2021,5/8/2021,4/21/2021,,,?
OOLU9612339,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/12/2021,3/16/2021,4/4/2021,4/10/2021,4/14/2021,4/21/2021,,,?
CCLU6860017,,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Hamburg, Free and Hanseatic City of Hamburg, Germany","Hamburg, Free and Hanseatic City of Hamburg, Germany",7/6/2021,7/6/2021,8/11/2021,,8/28/2021,7/8/2021,Yes,5/26/2021,?
TGHU6063410,MSC CLORINDA,CIF,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",6/6/2021,6/10/2021,7/28/2021,7/28/2021,8/14/2021,8/16/2021,,,?
SEGU6989850,CAPE SOUNIO,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/19/2021,6/29/2021,7/26/2021,7/30/2021,6/29/2021,,,?
TCKU7768218,COSCO AMERICA,nppnexpress,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Los Angeles, California, United States",9/24/2020,9/25/2020,10/20/2020,10/28/2020,11/1/2020,6/9/2021,,,?
TCLU4974104,,Axiom,,,,,,,,,,7/15/2021,Yes,7/10/2021,?
TCLU6950966,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",3/31/2021,4/5/2021,5/20/2021,5/26/2021,5/26/2021,7/15/2021,Yes,5/29/2021,?
TCNU2016300,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/19/2021,7/16/2021,7/15/2021,8/2/2021,7/22/2021,Yes,7/20/2021,?
TCNU4192519,ONE MANHATTAN,American Logistics,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/3/2021,5/16/2021,6/2/2021,7/13/2021,7/17/2021,7/15/2021,Yes,7/15/2021,?
TCNU4545529,EVER EAGLE,LF,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Vancouver, British Columbia, Canada",,6/25/2021,6/30/2021,7/19/2021,,8/5/2021,7/8/2021,Yes,5/18/2021,?
TGBU4394443,MSC CRISTINA,JAS,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",5/22/2021,5/25/2021,7/22/2021,7/20/2021,8/8/2021,7/26/2021,Yes,7/27/2021,?
OOLU9954964,COSCO PORTUGAL,Focus,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",5/22/2021,5/27/2021,6/23/2021,7/6/2021,7/10/2021,8/12/2021,Yes,7/12/2021,?
TRHU8536811,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/21/2021,7/17/2021,7/15/2021,8/3/2021,7/22/2021,Yes,7/22/2021,?
TRHU8536853,CAPE SOUNIO,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/19/2021,6/29/2021,7/12/2021,7/16/2021,6/29/2021,,,?
CSNU7524870,COSCO SHIPPING ANDES,Axiom,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",6/21/2021,6/29/2021,7/14/2021,7/15/2021,7/31/2021,6/29/2021,,,?
TRHU8536940,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/21/2021,7/16/2021,7/13/2021,8/2/2021,8/17/2021,Yes,7/20/2021,?
TRLU7468623,NORTHERN JUVENILE,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/7/2021,5/8/2021,6/4/2021,,6/21/2021,5/28/2021,,,?
MEDU8410030,,CIF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,6/23/2021,6/25/2021,,,,6/29/2021,,,?
FCIU9851090,,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",4/13/2021,4/13/2021,5/5/2021,,5/22/2021,6/11/2021,Yes,6/15/2021,?
FDCU0060910,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/19/2021,7/16/2021,7/13/2021,8/2/2021,7/26/2021,Yes,7/20/2021,?
FDCU0605218,E.R. CANADA,LF,"Dallas, Texas, United States","Houston, Texas, United States","Santos, Sao Paulo, Brazil","Santos, Sao Paulo, Brazil",6/30/2021,7/20/2021,8/5/2021,8/5/2021,8/22/2021,7/26/2021,Yes,6/30/2021,?
FSCU8921227,COSCO ITALY,AXIOM,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",6/12/2021,7/5/2021,7/29/2021,8/12/2021,8/12/2021,8/24/2021,Yes,8/13/2021,?
TGBU7766550,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",7/17/2021,7/27/2021,8/16/2021,8/25/2021,8/26/2021,8/25/2021,Yes,8/27/2021,?
FLSU6004629,,1st charter,,,,,,,,,11/9/2021,,Yes,11/9/2021,?
TFLU4987410,,4PX,,,,,,,,,,,Yes,10/29/2021,?
FLSU6004608,,1st charter,,,,,,,,,11/4/2021,,Yes,11/4/2021,?
MEDU8090209,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/19/2021,7/19/2021,7/16/2021,8/5/2021,7/22/2021,Yes,7/23/2021,?
TCNU1593781,MSC AURIGA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/30/2021,5/31/2021,7/22/2021,7/19/2021,8/8/2021,7/30/2021,Yes,7/26/2021,?
NYKU5931670,ONE AQUILA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",3/26/2021,4/1/2021,5/4/2021,6/9/2021,6/13/2021,7/8/2021,Yes,6/18/2021,?
EGHU9800943,,LF,,,,,,,,,,6/11/2021,Yes,5/27/2021,?
ONEU0170451,ONE MANHATTAN,American Logistics,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/3/2021,5/16/2021,6/4/2021,7/12/2021,7/16/2021,7/15/2021,Yes,7/15/2021,?
OOCU8046570,,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/14/2021,5/14/2021,5/28/2021,,6/14/2021,7/19/2021,Yes,7/1/2021,?
TEMU6412968,APL SANTIAGO,LF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Seattle, Washington, United States","Louisville, Kentucky, United States",6/24/2021,7/1/2021,7/22/2021,,8/8/2021,7/15/2021,Yes,5/21/2021,?
OOLU8314509,COSCO NETHERLANDS,,"Dallas, Texas, United States","Long Beach, California, United States","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",3/18/2021,3/31/2021,4/29/2021,4/30/2021,5/16/2021,4/21/2021,,,?
OOCU7052521,COSCO NETHERLANDS,,"Long Beach, California, United States","Long Beach, California, United States","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Thuan An, Tinh Quang Nam, Vietnam",3/25/2021,3/31/2021,4/19/2021,4/23/2021,4/23/2021,4/21/2021,,,?
OOCU7797807,SEAMAX STRATFORD,,"Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",3/10/2021,3/24/2021,4/12/2021,,4/29/2021,4/21/2021,,,?
OOLU9942217,TRADER,,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia",3/12/2021,3/15/2021,4/5/2021,4/9/2021,4/13/2021,4/21/2021,,,?
TCLU3370178,ONE EAGLE,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ba Ria, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Long Beach, California, United States",1/28/2021,2/7/2021,3/30/2021,3/30/2021,4/16/2021,4/21/2021,,,?
OOLU7467695,CMA CGM LAPEROUSE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","New York City, New York, United States","New York City, New York, United States",3/5/2021,3/6/2021,4/11/2021,4/15/2021,4/19/2021,4/21/2021,,,?
OOLU0435654,NYK VENUS,,"Nagoya, Aichi-ken, Japan","Nagoya, Aichi-ken, Japan","Los Angeles, California, United States","Inc., California, United States",1/15/2021,1/30/2021,2/28/2021,3/4/2021,3/4/2021,4/21/2021,,,?
OOCU7336615,APL VANDA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Southampton, England, United Kingdom","DP World Southampton, England, United Kingdom",1/26/2021,1/31/2021,3/6/2021,3/24/2021,3/28/2021,4/21/2021,,,?
HJMU4990711,ONE IBIS,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/17/2020,10/21/2020,11/15/2020,11/30/2020,12/4/2020,4/21/2021,,,?
